Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2012 [YR2012],2011 [YR2011],2010 [YR2010],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],2009 [YR2009],2008 [YR2008],2007 [YR2007],1992 [YR1992],1993 [YR1993],1991 [YR1991]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Asia,SAS,5.39585957194033,4.11030646492935,6.03378555069945,6.93862136255794,7.33607215167285,7.68224075995469,6.527009336296,6.33423837294276,3.94014462756964,-4.66148641223236,5.46797859758313,5.1102439307848,7.46877395670641,7.62592469986292,7.51755077198342,7.50738857386808,7.25192972039494,3.60239352901115,4.43609776642076,7.57189692982034,5.49078127535383,3.73773254080496,6.7390087794401,6.8450633143724,5.95291043354507,6.92824917015736,3.26410212298553,7.23302980805572,5.77253208476343,4.3290271072453,2.05935521895336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
